ride_date	rides_total	rides_day	rides_month	rides_season	duration_average	duration_day	duration_month	duration_season	clouds	rain	newdata_rain	temp
2015-05-01	645	292	33	320	42	64	23	24		yes	yes	14
2015-05-02	2722	1834	99	789	55	64	44	34			yes	20
2015-05-03	1210	756	88	366	51	55	25	42	yes	yes	yes	19
2015-05-04	2167	1123	126	918	51	71	27	29	yes		yes	13
2015-05-05	2115	730	169	1216	42	65	33	29				17
2015-05-06	2267	822	165	1280	44	66	31	31				16
2015-05-07	2655	1082	199	1374	44	65	28	29				18
2015-05-08	3468	1734	214	1520	49	67	37	31				19
2015-05-09	6595	4634	237	1724	64	78	47	30				22
2015-05-10	5572	4000	195	1377	57	66	46	30				21
2015-05-11	5657	3719	216	1722	54	65	38	32	yes			23
2015-05-12	3175	1030	307	1838	36	58	28	25	yes			23
2015-05-13	3326	1072	334	1920	39	64	26	28	yes			23
2015-05-14	3063	978	294	1791	38	58	40	26	yes		yes	18
2015-05-15	732	109	85	538	27	38	24	26	yes	yes	yes	15
2015-05-16	219	39	12	168	22	36	16	19	yes	yes	yes	12
2015-05-17	1203	380	144	679	36	68	23	21	yes		yes	13
2015-05-18	1279	89	135	1055	27	53	20	24	yes	yes	yes	11
2015-05-19	1472	133	136	1203	27	56	26	24	yes			11
2015-05-20	3110	716	355	2039	35	67	33	25				21
2015-05-21	4460	1424	433	2603	39	63	30	27				25
2015-05-22	2261	603	222	1436	35	66	28	23			yes	28
2015-05-23	4315	2029	295	1991	44	62	40	26	yes		yes	18
2015-05-24	3405	1655	271	1479	44	61	32	28	yes		yes	18
2015-05-25	3992	975	376	2641	39	75	38	26				21
2015-05-26	4634	1279	486	2869	37	64	35	25				28
2015-05-27	4241	1223	423	2595	38	63	33	26				30
2015-05-28	3299	814	370	2115	36	64	37	25	yes	yes		25
2015-05-29	2003	427	202	1374	31	55	23	24	yes		yes	29
2015-05-30	5635	2591	527	2517	46	68	30	28	yes		yes	26
2015-05-31	6528	3349	518	2661	57	76	43	35	yes			22
2015-06-01	4340	1052	458	2830	36	62	36	26				21
2015-06-02	4523	972	508	3043	34	60	29	26				22
2015-06-03	5080	1313	563	3204	38	66	35	26				28
2015-06-04	4449	1026	494	2929	34	63	34	24				23
2015-06-05	3769	834	394	2541	33	55	38	25	yes		yes	17
2015-06-06	5940	2806	525	2609	46	64	38	28	yes			21
2015-06-07	7943	4019	825	3099	48	64	34	30				27
2015-06-08	4598	1010	520	3068	33	58	31	25				23
2015-06-09	4420	852	560	3008	34	63	32	27				22
2015-06-10	4491	816	515	3160	32	54	35	25	yes			19
2015-06-11	4798	1060	628	3110	34	65	25	24				21
2015-06-12	6280	2862	580	2838	45	64	29	28				20
2015-06-13	6589	3297	565	2727	46	64	32	27				26
2015-06-14	6351	2895	611	2845	44	60	40	29			yes	29
2015-06-15	3094	542	377	2175	36	65	30	28	yes	yes	yes	31
2015-06-16	3155	525	389	2241	27	49	25	22	yes		yes	19
2015-06-17	4268	794	529	2945	32	59	34	24	yes			20
2015-06-18	4633	901	608	3124	31	52	31	24				21
2015-06-19	4453	928	541	2984	34	64	29	26				21
2015-06-20	3227	1153	330	1744	44	69	35	29	yes		yes	25
2015-06-21	5337	1984	566	2787	41	63	34	26	yes		yes	22
2015-06-22	5204	1111	691	3402	35	59	34	26	yes			27
2015-06-23	5532	1211	738	3583	32	59	28	23				25
2015-06-24	5864	1462	793	3609	36	59	28	29				28
2015-06-25	5702	1597	694	3411	39	63	32	30			yes	23
2015-06-26	6473	1814	820	3839	36	62	30	25			yes	24
2015-06-27	1968	599	246	1123	35	53	42	23	yes	yes	yes	23
2015-06-28	3163	896	404	1863	37	61	44	24	yes	yes	yes	16
2015-06-29	5627	1195	751	3681	31	57	30	22				21
2015-06-30	6062	1443	819	3800	31	56	27	23	yes	yes		23
2015-07-01	6933	1812	893	4228	34	62	30	23				25
2015-07-02	5890	1335	710	3845	32	58	30	24	yes		yes	27
2015-07-03	7065	1867	941	4257	34	61	26	23	yes			23
2015-07-04	8065	3977	811	3277	50	71	39	27				30
2015-07-05	7723	4016	685	3022	46	62	34	25				29
2015-07-06	6039	1353	886	3800	31	61	28	21	yes			21
2015-07-07	5338	1130	839	3369	31	58	25	23		yes	yes	23
2015-07-08	7093	1756	1042	4295	33	60	28	22				25
2015-07-09	5272	1078	715	3479	28	52	23	21			yes	27
2015-07-10	6365	1329	1086	3950	29	54	32	20	yes	yes	yes	25
2015-07-11	5560	2140	699	2721	47	79	30	27	yes		yes	19
2015-07-12	4968	1783	657	2528	37	57	32	25	yes		yes	18
2015-07-13	4925	897	802	3226	29	53	34	20	yes	yes	yes	16
2015-07-14	5675	1017	898	3760	29	56	27	22				21
2015-07-15	6434	1215	1040	4179	29	51	30	22	yes			22
2015-07-16	6124	1252	942	3930	29	53	27	21			yes	22
2015-07-17	6697	1617	1040	4040	32	54	32	23				24
2015-07-18	7088	2938	902	3248	41	62	36	24	yes		yes	22
2015-07-19	7955	3541	1030	3384	41	58	29	26	yes			22
2015-07-20	4280	701	712	2867	26	44	30	20	yes		yes	18
2015-07-21	3931	545	622	2764	25	48	20	22	yes		yes	19
2015-07-22	5017	853	857	3307	27	48	27	21	yes		yes	23
2015-07-23	6420	1221	1093	4106	30	57	24	23	yes		yes	23
2015-07-24	7002	1657	1148	4197	31	56	28	22				24
2015-07-25	9189	4514	1063	3612	43	59	29	25				25
2015-07-26	9440	4823	1052	3565	44	59	33	26				27
2015-07-27	3181	606	546	2029	29	49	25	24			yes	29
2015-07-28	4096	553	727	2816	25	48	28	20			yes	27
2015-07-29	6853	1314	1138	4401	28	58	26	20			yes	24
2015-07-30	6792	1373	1080	4339	28	52	23	22				24
2015-07-31	7342	1742	1151	4449	29	50	25	21				23
2015-08-01	6476	3762	617	2097	36	44	29	23	yes		yes	21
2015-08-02	8914	5647	756	2511	40	48	31	25	yes			23
2015-08-03	6336	2545	804	2987	28	39	24	19				24
2015-08-04	7527	3072	917	3538	29	41	25	19				25
2015-08-05	7251	2896	989	3366	29	39	24	22				24
2015-08-06	7496	3055	896	3545	29	39	24	21				23
2015-08-07	7441	3229	859	3353	33	44	25	24				27
2015-08-08	7975	5031	614	2330	42	51	31	25			yes	28
2015-08-09	7744	4875	649	2220	43	52	36	25				32
2015-08-10	6242	2467	692	3083	29	38	28	21				30
2015-08-11	6647	2677	758	3212	30	42	24	21				27
2015-08-12	7558	3280	880	3398	30	38	24	22				27
2015-08-13	5536	2167	719	2650	28	36	25	21			yes	30
2015-08-14	6831	2940	827	3064	29	41	24	20			yes	22
2015-08-15	8162	5112	664	2386	38	46	27	24				23
2015-08-16	5682	3316	530	1836	35	43	27	22	yes			18
2015-08-17	4148	1348	502	2298	24	30	21	19	yes		yes	17
2015-08-18	4139	1375	525	2239	24	30	23	19	yes		yes	17
2015-08-19	5286	1873	712	2701	24	32	22	19				18
2015-08-20	6778	2731	837	3210	29	37	27	21				23
2015-08-21	7721	3408	870	3443	31	41	26	21				25
2015-08-22	9357	5986	719	2652	41	49	31	24				27
2015-08-23	8525	5619	636	2270	40	46	32	27	yes			26
2015-08-24	6103	2499	625	2979	25	34	24	17				21
2015-08-25	6953	2878	791	3284	28	36	24	20				24
2015-08-26	6653	2702	742	3209	29	41	24	20				27
2015-08-27	6246	2439	728	3079	26	34	25	19	yes			25
2015-08-28	7078	3029	711	3338	28	39	24	19	yes			25
2015-08-29	5390	3102	431	1857	32	39	33	20	yes		yes	21
2015-08-30	6293	3444	540	2309	33	40	29	21				21
2015-08-31	4737	1643	468	2626	24	29	23	18	yes		yes	20
2015-09-01	5279	612	834	3833	24	46	23	20				19
2015-09-02	4869	387	775	3707	22	38	24	19			yes	17
2015-09-03	3861	218	625	3018	24	51	20	21	yes		yes	17
2015-09-04	4339	459	705	3175	25	55	26	21	yes		yes	16
2015-09-05	3061	752	428	1881	31	56	20	20	yes	yes	yes	20
2015-09-06	3312	1302	301	1709	49	76	27	29			yes	17
2015-09-07	3228	182	430	2616	20	42	27	17	yes		yes	17
2015-09-08	3600	208	557	2835	19	34	22	16	yes	yes		15
2015-09-09	3281	179	459	2643	21	33	22	18	yes		yes	16
2015-09-10	3566	199	505	2862	21	50	21	15	yes		yes	13
2015-09-11	4155	381	531	3243	22	41	26	18	yes	yes	yes	17
2015-09-12	3996	1142	402	2452	35	62	26	22	yes			15
2015-09-13	4855	1760	487	2608	33	48	29	23				16
2015-09-14	4427	596	551	3280	21	36	22	17				18
2015-09-15	4916	590	760	3566	23	49	20	20				19
2015-09-16	5286	825	684	3777	24	47	21	19				20
2015-09-17	4940	687	661	3592	26	49	23	20				21
2015-09-18	6849	1625	781	4443	31	58	27	21			yes	27
2015-09-19	7995	3859	755	3381	39	55	27	24				23
2015-09-20	7285	3777	620	2888	40	52	31	26			yes	21
2015-09-21	5629	989	780	3860	28	53	23	22			yes	26
2015-09-22	5944	1121	807	4016	26	53	22	18			yes	20
2015-09-23	6383	1319	869	4195	25	42	24	20				23
2015-09-24	6599	1439	909	4251	28	52	28	19				26
2015-09-25	7630	2100	936	4594	31	50	22	23				29
2015-09-26	9710	5195	863	3652	44	57	30	26				27
2015-09-27	8625	4637	735	3253	40	52	27	26				27
2015-09-28	2662	255	425	1982	26	29	22	21	yes		yes	17
2015-09-29	3562	302	536	2724	20	40	20	17	yes			13
2015-09-30	3886	298	594	2994	22	26	28	19	yes			12
